Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Randwick City Council,South Maroubra Rockpool,27/06/2024,07:38:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,27/06/2024,07:30:00,16,-33.948896000,151.257459000
Sydney City,Waverley Council,Bronte Beach,27/06/2024,06:44:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Gordons Bay (East),19/06/2024,07:37:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,South Maroubra Beach,19/06/2024,08:10:00,16,-33.951378000,151.257322000
Sydney City,Waverley Council,Bondi Beach,19/06/2024,06:44:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,South Maroubra Rockpool,19/06/2024,08:11:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Maroubra Beach,19/06/2024,08:22:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,19/06/2024,09:04:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,Malabar Beach,19/06/2024,08:39:00,16,-33.964360000,151.252247000
Sydney City,Randwick City Council,Coogee Beach,19/06/2024,07:50:00,16,-33.920760000,151.258170000
Sydney City,Waverley Council,Tamarama Beach,19/06/2024,07:02:00,16,-33.900805000,151.270734000
Sydney City,Waverley Council,Bronte Beach,19/06/2024,07:20:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Clovelly Beach,19/06/2024,07:28:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Maroubra Beach,14/06/2024,08:18:00,18,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,14/06/2024,09:13:00,18,-33.979882000,151.251417000
Sydney City,Randwick City Council,Malabar Beach,14/06/2024,08:56:00,18,-33.964360000,151.252247000
Sydney City,Randwick City Council,Gordons Bay (East),14/06/2024,07:37:00,17,-33.915646000,151.264558000
Sydney City,Waverley Council,Tamarama Beach,14/06/2024,07:04:00,17,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,14/06/2024,07:57:00,18,-33.920760000,151.258170000
